Time [s],Heat flux [W],,,
,,,Time,experiment heatflux
,,,1032.604,-103.0577
,,,1033.669,-110.1731
,,,1034.731,-113.8284
,,,1035.788,-127.2683
,,,1036.86,-121.3506
,,,1037.92,-130.133
,,,1038.993,-137.8811
,,,1040.061,-149.4684
,,,1041.125,-149.1935
,,,1042.179,-156.39
,,,1043.253,-160.1602
,,,1044.324,-169.587
,,,1045.402,-167.7041
,,,1046.467,-173.183
,,,1047.534,-184.8776
,,,1048.595,-190.1248
,,,1049.668,-186.8836
,,,1050.728,-191.4926
,,,1051.802,-192.068
,,,1052.854,-201.1456
,,,1053.926,-205.4329
,,,1054.992,-206.0226
,,,1056.056,-217.7916
,,,1057.111,-219.1987
,,,1058.188,-224.1977
,,,1059.247,-229.5424
,,,1060.312,-235.2638
,,,1061.373,-236.3584
,,,1062.429,-234.8998
,,,1063.502,-245.6393
